Index,BirdID,Condition,Note,NoteX,NbNotes,SimilarityMean,SimilarityMedian,Entropy
0,g20r5,baseline,i,False,99,0.8177275086231677,0.8689514610284131,2.703
1,g20r5,baseline,a,False,205,0.845864013959192,0.8707631393830969,2.781
2,g20r5,baseline,b,False,206,0.6296935424870815,0.6375158289031546,2.92
3,g20r5,baseline,c,False,198,0.6883387017898779,0.6874002377724309,2.787
4,g20r5,baseline,d,False,115,0.7704655623152107,0.7894644322657682,2.726
5,g20r5,baseline,e,False,110,0.7569615515767479,0.7697300425603546,2.65
6,g20r5,baseline,m,False,120,0.6970746884391141,0.7329062129637456,2.779
7,g20r5,baseline,z,False,19,0.7322388419267568,0.767806847010261,2.773
8,g20r5,BMI,m,False,180,0.6171435637600806,0.624253944063426,2.924
9,g20r5,BMI,i,False,61,0.7793801523690609,0.833184170966029,2.868
10,g20r5,BMI,a,False,149,0.61124735940133,0.6088594146766475,2.951
11,g20r5,BMI,b,False,149,0.5944936652658895,0.5957908446561908,2.96
12,g20r5,BMI,c,False,147,0.6948678206977454,0.7101543416770044,2.893
13,g20r5,BMI,d,False,99,0.685862825115057,0.6768969569542211,2.89
14,g20r5,BMI,e,False,87,0.5972553638699087,0.5892632041682896,2.89
15,g20r5,BMI,z,False,49,0.7124358486950056,0.7371870717122694,2.923
16,y58y59,baseline,i,False,811,0.6684793315191475,0.6915061579468298,2.74
17,y58y59,baseline,a,False,255,0.698524867121901,0.7238765271296715,2.722
18,y58y59,baseline,b,False,250,0.7134027008787086,0.7537046958562184,2.666
19,y58y59,baseline,c,False,251,0.6688068013514278,0.6789537821476141,2.737
20,y58y59,baseline,d,False,203,0.7108338922054468,0.7345401365821529,2.712
21,y58y59,baseline,m,False,31,0.6061393278073671,0.6087771511619371,2.77
22,y58y59,baseline,z,False,78,0.7611710112342838,0.7605120442603222,2.678
23,y58y59,BMI,i,False,849,0.6363025511875879,0.6631828327606969,2.687
24,y58y59,BMI,a,False,284,0.7194477083394035,0.7586156425421633,2.664
25,y58y59,BMI,b,False,282,0.5898156005728445,0.5976349646345148,2.702
26,y58y59,BMI,c,False,281,0.6509691743539844,0.6515278165134226,2.744
27,y58y59,BMI,d,False,219,0.49346911295889423,0.49058310854227494,2.735
28,y58y59,BMI,m,False,15,0.5252892531317664,0.5151633496563,2.765
29,y58y59,BMI,z,False,116,0.6627772258354345,0.6843179641240981,2.7
30,k71o7,baseline,i,False,649,0.7517335706069292,0.7905132174070085,2.565
31,k71o7,baseline,j,False,210,0.7018846831225292,0.7562531236991091,2.36
32,k71o7,baseline,a,False,221,0.6070289024738565,0.6277838781098715,2.689
33,k71o7,baseline,b,False,222,0.7158022808060532,0.7368502897910061,2.609
34,k71o7,baseline,c,False,232,0.5128969475820117,0.5169527214098115,2.585
35,k71o7,baseline,d,False,227,0.46121725052708124,0.45767370818371633,2.538
36,k71o7,baseline,z,False,584,0.5291639222686709,0.5428566432709446,2.388
37,k71o7,BMI,x,True,541,0.4810806402580201,0.45544248367030415,2.773
38,k71o7,BMI,j,False,405,0.6295405879059024,0.6597257170329126,2.583
39,k71o7,BMI,i,False,1572,0.6984757418577195,0.726603145789424,2.63
40,k71o7,BMI,a,False,300,0.4804502956319552,0.41138354419461853,2.753
41,k71o7,BMI,b,False,265,0.4970007388076638,0.5150162862209734,2.762
42,k71o7,BMI,c,False,528,0.3270453175256566,0.2701928241231546,2.732
43,k71o7,BMI,z,False,501,0.3789999698161741,0.31912472379193013,2.686
44,k71o7,BMI,d,False,350,0.5050214216107831,0.5278196475269308,2.678
45,y3y18,baseline,i,False,243,0.5908810474102586,0.596843405008548,3.14
46,y3y18,baseline,j,False,81,0.5079251276820234,0.5087021490741646,3.232
47,y3y18,baseline,b,False,205,0.6592188396804965,0.6840371808198297,3.057
48,y3y18,baseline,c,False,302,0.7320247813902618,0.7629969662892614,3.036
49,y3y18,baseline,d,False,305,0.6168372145078906,0.6429623880982109,3.027
50,y3y18,baseline,e,False,181,0.6914435490114945,0.7255533517475874,3.163
51,y3y18,baseline,f,False,182,0.6199073762158333,0.6236616956803657,3.142
52,y3y18,baseline,a,False,123,0.5832034455402725,0.6027968522871701,3.127
53,y3y18,baseline,y,False,51,0.7088287054514433,0.722234214729481,3.075
54,y3y18,baseline,x,True,18,0.43792259698829944,0.4147960948993709,3.275
55,y3y18,baseline,z,False,11,0.6224592230020422,0.628197887208535,3.138
56,y3y18,BMI,i,False,1472,0.6196493752118283,0.6352166264100083,3.193
57,y3y18,BMI,b,False,1356,0.39159906003019446,0.3350180311143569,3.304
58,y3y18,BMI,c,False,1247,0.5172796340763857,0.5310967798375124,3.264
59,y3y18,BMI,d,False,1215,0.36749733439727106,0.31118648340199284,3.252
60,y3y18,BMI,e,False,776,0.49133604624788796,0.48659425093784536,3.258
61,y3y18,BMI,f,False,747,0.4981617399225042,0.5057414576178829,3.245
62,y3y18,BMI,a,False,901,0.49232229549724055,0.47121514445167834,3.265
63,y3y18,BMI,x,True,705,0.4512877879472031,0.46021371157295365,3.274
64,y3y18,BMI,j,False,233,0.5261080871397793,0.5319569609051501,3.264
65,y3y18,BMI,y,False,230,0.6189193185736076,0.6713030532389699,3.202
66,y3y18,BMI,z,False,58,0.5263883139781993,0.5681423401442891,3.272
67,o54w8,baseline,i,False,511,0.7399976646008511,0.7558869397132593,2.645
68,o54w8,baseline,a,False,419,0.7889253303882243,0.8079943041449689,2.66
69,o54w8,baseline,b,False,415,0.6262967149801602,0.6537217478515027,2.569
70,o54w8,baseline,c,False,414,0.6599646727901032,0.691333755107997,2.708
71,o54w8,baseline,d,False,413,0.7267470352963299,0.7492204173163372,2.519
72,o54w8,baseline,e,False,403,0.7850721419446485,0.8117820902428006,2.543
73,o54w8,baseline,j,False,253,0.7572904113812744,0.7909845224077273,2.532
74,o54w8,BMI,i,False,1058,0.6512649906210433,0.663422158894864,2.633
75,o54w8,BMI,a,False,607,0.6484484936324156,0.6710191030196622,2.654
76,o54w8,BMI,b,False,658,0.45262855562186327,0.413126653098053,2.716
77,o54w8,BMI,c,False,654,0.5405832386143523,0.5301671664147967,2.754
78,o54w8,BMI,d,False,650,0.6649240604082619,0.692308007404147,2.555
79,o54w8,BMI,e,False,638,0.6485503870299081,0.6809438008018065,2.597
80,o54w8,BMI,j,False,291,0.6019461051253496,0.6263493059346079,2.595
81,o54w8,BMI,x,True,228,0.5793856246803235,0.5872824743481977,2.645
82,k77r57,baseline,i,False,278,0.6220661251795155,0.6556671201821136,2.208
83,k77r57,baseline,j,False,442,0.5971384712183058,0.5963722539200982,2.148
84,k77r57,baseline,a,False,424,0.6348613863981484,0.65301544909226,2.231
85,k77r57,baseline,b,False,372,0.6680608515071851,0.6678359535326561,2.207
86,k77r57,baseline,c,False,248,0.5452692613261979,0.5505002558373184,2.125
87,k77r57,BMI,i,False,317,0.5511630190939063,0.5873670163583189,2.264
88,k77r57,BMI,j,False,646,0.6086545043527597,0.6227917427996548,2.234
89,k77r57,BMI,a,False,632,0.5806137364069234,0.5962669909998061,2.283
90,k77r57,BMI,b,False,550,0.6465971202962564,0.6617733258134317,2.266
91,k77r57,BMI,c,False,283,0.4706031846800626,0.4630011982556089,2.255
92,k77r57,BMI,x,True,95,0.431825234010409,0.4234725130358067,2.297
93,b86g86,baseline,i,False,358,0.7504744239185921,0.7629350878514802,2.634
94,b86g86,baseline,a,False,146,0.6397562015937073,0.6479819641054214,2.754
95,b86g86,baseline,b,False,388,0.8247193199402543,0.8797892161071585,2.713
96,b86g86,baseline,c,False,399,0.6855415957551474,0.6959748750865603,2.698
97,b86g86,baseline,d,False,391,0.6731389841226108,0.6845893640372482,2.721
98,b86g86,baseline,e,False,254,0.7440828010709661,0.7716340380834361,2.698
99,b86g86,baseline,f,False,254,0.6035310731416075,0.6192613929577998,2.661
100,b86g86,BMI,i,False,807,0.6193553417453479,0.6277050797587157,2.679
101,b86g86,BMI,a,False,351,0.46800222441227396,0.4640152304675439,2.78
102,b86g86,BMI,c,False,669,0.4768641043250868,0.4631301149016446,2.781
103,b86g86,BMI,d,False,626,0.6241448907398036,0.6268557841687481,2.724
104,b86g86,BMI,e,False,374,0.5505438007877954,0.5807958111979932,2.755
105,b86g86,BMI,f,False,367,0.5079370325519883,0.49035903330648256,2.757
106,b86g86,BMI,b,False,647,0.5334216678770007,0.5517088066011768,2.78
107,b86g86,BMI,x,True,216,0.5626353431558527,0.5781129663282669,2.72
